Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
M108_S21_L005_R1_001	M108_S21_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36747066.0	0.0	35-126	47.0	29.02747343768003	117.8692852920557	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
M108_S21_L005_R2_001	M108_S21_L005_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36747066.0	0.0	35-126	47.0	30.72572568753429	117.89355639984971	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
M10_S14_L004_R1_001	M10_S14_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42522218.0	0.0	35-126	48.0	51.86937917926754	115.59435215726518	pass	pass	fail	pass	fail	fail	pass	warn	warn	warn	pass
M10_S14_L004_R2_001	M10_S14_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42522218.0	0.0	35-126	48.0	55.064231218707334	115.69275544375414	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
M20_S42_L002_R1_001	M20_S42_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45427500.0	0.0	35-126	46.0	50.08162518660064	118.82013124208905	pass	pass	fail	pass	fail	warn	pass	warn	warn	warn	pass
M20_S42_L002_R2_001	M20_S42_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45427500.0	0.0	35-126	46.0	55.04189671778092	118.80084314567168	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
M29_S12_L003_R1_001	M29_S12_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30274095.0	0.0	35-126	46.0	16.843983064175227	117.74799074918673	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
M29_S12_L003_R2_001	M29_S12_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30274095.0	0.0	35-126	46.0	20.674203498845543	117.6733929783863	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
M49_S15_L004_R1_001	M49_S15_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40731264.0	0.0	35-126	47.0	51.40440670673434	117.22436804318177	pass	pass	fail	pass	fail	fail	pass	warn	warn	warn	pass
M49_S15_L004_R2_001	M49_S15_L004_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40731264.0	0.0	35-126	47.0	55.26356336338689	117.18416899608124	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
M692_S11_L003_R1_001	M692_S11_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44742676.0	0.0	35-126	49.0	46.07247532011042	115.87298913457926	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
M692_S11_L003_R2_001	M692_S11_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44742676.0	0.0	35-126	49.0	48.64751380091139	115.99131603125392	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
M7_S40_L002_R1_001	M7_S40_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45454419.0	0.0	35-126	47.0	47.58312941521591	120.73313003956777	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
M7_S40_L002_R2_001	M7_S40_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45454419.0	0.0	35-126	47.0	52.41674449990717	120.72878529148068	pass	pass	warn	pass	fail	fail	pass	warn	warn	warn	pass
M8_S41_L002_R1_001	M8_S41_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37421269.0	0.0	35-126	46.0	48.27800950687425	122.0947031486292	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
M8_S41_L002_R2_001	M8_S41_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37421269.0	0.0	35-126	46.0	52.96513464097446	122.01442639478634	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass
M94_S20_L005_R1_001	M94_S20_L005_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50537062.0	0.0	35-126	49.0	42.800156827266974	116.40454500501038	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
M94_S20_L005_R2_001	M94_S20_L005_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50537062.0	0.0	35-126	49.0	46.24102095388195	116.48521257527793	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
